Id,Prediction
0,8
1,9
2,6
3,11
4,9
5,9
6,9
7,9
8,6
9,2
10,8
11,6
12,8
13,0
14,8
15,9
16,7
17,9
18,13
19,8
20,10
21,10
22,8
23,9
24,4
25,8
26,11
27,8
28,9
29,9
30,9
31,9
32,9
33,11
34,12
35,8
36,8
37,11
38,12
39,8
40,9
41,8
42,11
43,6
44,7
45,18
46,6
47,10
48,8
49,3
50,9
51,5
52,8
53,9
54,10
55,8
56,9
57,16
58,10
59,10
60,13
61,16
62,10
63,10
64,11
65,14
66,12
67,13
68,9
69,6
70,2
71,9
72,8
73,8
74,9
75,13
76,9
77,9
78,9
79,14
80,9
81,8
82,13
83,14
84,8
85,14
86,3
87,7
88,9
89,5
90,9
91,9
92,9
93,11
94,18
95,8
96,9
97,10
98,6
99,11
100,7
101,8
102,0
103,8
104,10
105,10
106,6
107,5
108,3
109,10
110,2
111,7
112,8
113,9
114,12
115,9
116,17
117,8
118,10
119,6
120,13
121,10
122,9
123,11
124,14
125,16
126,2
127,8
128,6
129,2
130,8
131,7
132,11
133,8
134,8
135,9
136,9
137,6
138,9
139,9
140,8
141,0
142,9
143,8
144,8
145,10
146,8
147,0
148,8
149,2
150,6
151,8
152,8
153,8
154,8
155,9
156,12
157,5
158,16
159,10
160,9
161,7
162,10
163,12
164,16
165,3
166,9
167,15
168,10
169,8
170,11
171,11
172,10
173,9
174,12
175,8
176,9
177,8
178,10
179,6
180,10
181,10
182,8
183,9
184,6
185,0
186,13
187,14
188,12
189,8
190,11
191,16
192,10
193,14
194,14
195,6
196,11
197,14
198,11
199,8
200,6
201,9
202,8
203,8
204,6
205,12
206,9
207,7
208,13
209,8
210,9
211,11
212,3
213,8
214,2
215,16
216,15
217,10
218,11
219,16
220,0
221,8
222,4
223,8
224,17
225,8
226,8
227,16
228,9
229,8
230,3
231,12
232,9
233,8
234,8
235,8
236,10
237,3
238,10
239,8
240,10
241,8
242,11
243,10
244,10
245,3
246,7
247,12
248,9
249,0
250,9
251,8
252,11
253,9
254,11
255,8
256,9
257,5
258,9
259,8
260,16
261,9
262,9
263,8
264,6
265,8
266,1
267,0
268,9
269,6
270,13
271,5
272,8
273,9
274,18
275,8
276,6
277,0
278,8
279,6
280,6
281,9
282,9
283,11
284,8
285,11
286,8
287,9
288,6
289,10
290,5
291,2
292,9
293,8
294,3
295,8
296,9
297,12
298,10
299,8
300,8
301,9
302,8
303,7
304,9
305,8
306,13
307,3
308,6
309,9
310,8
311,8
312,8
313,8
314,6
315,9
316,8
317,8
318,4
319,16
320,11
321,1
322,9
323,16
324,13
325,8
326,8
327,13
328,7
329,9
330,9
331,11
332,8
333,18
334,5
335,9
336,13
337,11
338,8
339,9
340,6
341,9
342,4
343,6
344,5
345,9
346,9
347,9
348,9
349,9
350,11
351,8
352,13
353,3
354,8
355,11
356,8
357,9
358,9
359,8
360,9
361,10
362,6
363,7
364,9
365,10
366,8
367,3
368,12
369,2
370,9
371,15
372,6
373,8
374,9
375,16
376,9
377,8
378,8
379,9
380,9
381,0
382,0
383,8
384,6
385,16
386,5
387,9
388,8
389,5
390,10
391,6
392,8
393,4
394,10
395,9
396,9
397,9
398,9
399,9
400,10
401,12
402,9
403,9
404,12
405,8
406,13
407,18
408,9
409,15
410,12
411,9
412,6
413,8
414,5
415,3
416,6
417,7
418,8
419,9
420,9
421,10
422,9
423,10
424,14
425,8
426,11
427,10
428,8
429,14
430,12
431,3
432,10
433,7
434,7
435,9
436,10
437,9
438,6
439,14
440,13
441,6
442,11
443,10
444,11
445,11
446,9
447,6
448,11
449,13
450,8
451,3
452,9
453,11
454,11
455,5
456,3
457,11
458,9
459,8
460,10
461,9
462,11
463,9
464,14
465,11
466,14
467,8
468,10
469,5
470,16
471,10
472,8
473,8
474,3
475,8
476,8
477,9
478,15
479,8
480,11
481,8
482,3
483,10
484,6
485,18
486,10
487,13
488,8
489,10
490,0
491,13
492,8
493,6
494,14
495,9
496,8
497,10
498,17
499,10
500,9
501,11
502,7
503,16
504,8
505,9
506,8
507,9
508,8
509,10
510,9
511,14
512,9
513,11
514,8
515,10
516,13
517,9
518,12
519,11
520,10
521,12
522,18
523,10
524,12
525,9
526,3
527,6
528,9
529,10
530,11
531,11
532,14
533,8
534,6
535,12
536,14
537,15
538,14
539,10
540,9
541,11
542,13
543,11
544,11
545,14
546,9
547,8
548,12
549,15
550,4
551,9
552,4
553,12
554,5
555,8
556,11
557,9
558,9
559,9
560,10
561,9
562,10
563,0
564,9
565,9
566,8
567,9
568,8
569,11
570,12
571,9
572,9
573,7
574,8
575,14
576,11
577,5
578,9
579,8
580,9
581,8
582,7
